date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,pct_plant,pct_dairy,pct_animal,pct_other,pct_upf,pct_kcal_protein,pct_kcal_carb,pct_kcal_fat,mono_g,poly_g,trans_g,fat_split_mis,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-06-23,3131,189.6,473.1,200.4,75.6,63.6,19.6,659,6175,4172,84.4,100.0,19,41,95,417,56,92.3,3131,0,15,91.3,2.5,0.0,6.2,25.8,23.5,58.7,17.8,18.11,11.29,0.41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,4132,206.4,608.5,196.9,66.6,110.9,36.7,808,5031,4879,85.5,100.0,14,41,96,419,189,86.1,4132,0,17,92.2,5.9,0.0,1.9,46.5,19.4,57.2,23.4,24.7,21.11,0.38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,3946,189.6,646.0,227.1,95.7,84.5,33.5,1121,8411,2713,92.1,100.0,20,41,230,706,-60,97.7,3946,0,23,83.9,14.7,0.0,1.4,7.6,18.5,63.0,18.5,23.89,15.03,1.04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,4153,198.2,590.4,227.5,76.6,124.8,45.5,816,6390,4714,89.0,100.0,21,38,183,605,-15,90.7,4153,0,19,78.6,6.8,0.0,14.6,30.9,18.5,55.2,26.3,31.05,22.37,3.16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-27,3229,188.7,432.4,220.0,37.8,89.5,36.7,629,6026,4722,91.3,100.0,14,33,54,329,103,100.0,3229,0,27,43.4,20.6,33.0,2.9,0.0,22.9,52.6,24.5,16.57,9.82,0.82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,3194,174.0,507.9,174.3,84.6,65.7,19.9,965,6869,5108,92.0,100.0,25,36,129,490,18,94.7,3194,0,24,86.1,11.9,2.0,0.0,17.8,21.0,61.2,17.8,20.67,10.73,0.56,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-29,5100,237.1,789.2,337.7,72.0,130.3,46.8,1002,6455,5112,90.7,100.0,21,38,555,855,-66,85.0,5100,0,29,86.4,3.7,4.6,5.3,51.0,18.0,59.8,22.2,29.12,22.44,2.12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,4175,202.9,603.2,237.6,90.2,124.8,39.0,971,8252,4887,91.3,100.0,26,43,320,855,-252,89.9,4175,0,25,62.8,7.2,23.3,6.8,33.6,18.7,55.5,25.8,45.3,20.68,2.73,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2404,111.9,420.9,179.7,60.7,46.7,14.3,743,5610,2100,76.7,100.0,15,45,0,214,207,88.9,2404,0,15,92.4,7.6,0.0,0.0,37.0,17.5,66.0,16.5,18.01,8.81,0.24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,565,22.2,113.4,6.1,10.4,3.7,0.7,128,344,714,13.7,27.3,2,32,53,327,-214,89.3,565,0,2,100.0,0.0,0.0,0.0,0.0,15.4,78.8,5.8,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
