date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2024-09-23,16.6,6.13,17.3,6.59,9.81,8.5,8.8,7.86,3.61,1.07,13.73,1.0,0.624,0.226,0.494,0.145
2024-09-24,16.64,6.11,17.31,6.55,9.82,8.49,8.8,7.87,3.62,1.06,13.72,1.0,0.627,0.216,0.489,0.144
2024-09-25,16.45,6.22,17.38,6.46,9.79,8.56,8.86,7.85,3.57,1.05,13.8,1.0,0.629,0.213,0.52,0.149
2024-09-26,16.45,6.21,17.43,6.45,9.78,8.56,8.86,7.85,3.57,1.05,13.79,1.0,0.631,0.212,0.522,0.147
2024-09-27,16.47,6.24,17.37,6.43,9.79,8.58,8.86,7.85,3.58,1.04,13.79,1.0,0.633,0.208,0.521,0.153
2024-09-28,16.27,6.32,17.52,6.32,9.75,8.64,8.93,7.83,3.53,1.03,13.87,1.0,0.636,0.199,0.553,0.152
2024-09-29,16.29,6.32,17.51,6.3,9.75,8.64,8.93,7.83,3.53,1.02,13.87,1.0,0.638,0.195,0.553,0.153
2024-09-30,16.34,6.31,17.53,6.26,9.77,8.64,8.92,7.84,3.55,1.01,13.85,1.0,0.64,0.185,0.548,0.153
2024-10-01,16.35,6.31,17.49,6.27,9.77,8.64,8.92,7.84,3.55,1.01,13.84,1.0,0.64,0.185,0.546,0.155
2024-10-02,16.32,6.33,17.46,6.31,9.76,8.65,8.92,7.83,3.54,1.02,13.84,1.0,0.641,0.199,0.55,0.158
2024-10-03,16.32,6.32,17.5,6.28,9.76,8.65,8.93,7.83,3.55,1.02,13.84,1.0,0.642,0.193,0.551,0.156
2024-10-04,16.28,6.37,17.4,6.37,9.75,8.66,8.93,7.83,3.53,1.04,13.86,1.0,0.639,0.213,0.554,0.162
2024-10-05,16.46,6.25,17.34,6.43,9.79,8.59,8.87,7.85,3.58,1.04,13.79,1.0,0.633,0.21,0.523,0.155
2024-10-06,16.43,6.29,17.25,6.5,9.78,8.59,8.87,7.85,3.57,1.06,13.81,1.0,0.63,0.224,0.525,0.161
2024-10-07,16.41,6.29,17.25,6.53,9.77,8.58,8.87,7.84,3.56,1.07,13.82,1.0,0.628,0.23,0.525,0.159
2024-10-08,16.65,6.19,17.1,6.61,9.83,8.52,8.8,7.87,3.63,1.08,13.72,1.0,0.626,0.228,0.488,0.16
2024-10-09,16.65,6.19,17.12,6.59,9.83,8.52,8.8,7.88,3.62,1.07,13.74,1.0,0.623,0.222,0.488,0.158
2024-10-10,16.61,6.22,17.06,6.65,9.82,8.52,8.81,7.87,3.61,1.09,13.75,1.0,0.621,0.236,0.492,0.161
2024-10-11,16.62,6.22,17.05,6.63,9.82,8.52,8.81,7.88,3.61,1.08,13.76,1.0,0.619,0.231,0.491,0.161
2024-10-12,16.56,6.24,17.01,6.71,9.81,8.52,8.8,7.87,3.6,1.11,13.77,1.0,0.617,0.25,0.495,0.163
2024-10-13,16.81,6.14,16.89,6.77,9.86,8.46,8.74,7.9,3.66,1.1,13.68,1.0,0.614,0.242,0.458,0.162
2024-10-14,16.8,6.15,16.84,6.8,9.86,8.46,8.74,7.9,3.66,1.11,13.69,1.0,0.612,0.248,0.457,0.164
2024-10-15,16.99,6.04,16.77,6.89,9.9,8.39,8.68,7.92,3.71,1.12,13.6,1.0,0.61,0.251,0.425,0.159
2024-10-16,16.95,6.07,16.72,6.95,9.88,8.39,8.68,7.91,3.7,1.14,13.62,1.0,0.608,0.265,0.429,0.163
2024-10-17,16.94,6.07,16.74,6.93,9.88,8.39,8.68,7.91,3.69,1.13,13.63,1.0,0.606,0.259,0.43,0.161
2024-10-18,17.15,6.0,16.54,7.06,9.92,8.33,8.62,7.93,3.75,1.15,13.54,1.0,0.603,0.27,0.396,0.165
2024-10-19,17.15,6.0,16.53,7.07,9.93,8.33,8.62,7.93,3.74,1.15,13.55,1.0,0.601,0.27,0.396,0.165
2024-10-20,17.3,5.92,16.41,7.22,9.95,8.27,8.56,7.94,3.79,1.18,13.47,1.0,0.599,0.287,0.369,0.164
2024-10-21,17.31,5.93,16.37,7.23,9.95,8.27,8.55,7.95,3.79,1.18,13.47,1.0,0.597,0.288,0.367,0.166
2024-10-22,17.29,5.92,16.37,7.26,9.95,8.26,8.55,7.95,3.78,1.19,13.48,1.0,0.594,0.294,0.367,0.164
