date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-09-08,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,67,357,-272,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-09,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,72,368,-91,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-10,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,58,338,-61,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-11,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,84,394,-308,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-12,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,124,479,-394,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-13,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,0,214,-128,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-14,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,155,545,-460,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-15,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,94,415,-329,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-16,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,107,443,-166,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-17,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,95,417,-141,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-18,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,49,319,-233,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-19,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,75,374,-289,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-20,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,94,415,-329,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-21,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,137,507,-421,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-22,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,198,637,-552,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-23,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,130,492,-215,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-24,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,75,374,-98,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-09-25,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,72,368,-282,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-26,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,76,376,-291,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-27,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,187,614,-528,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-28,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,164,565,-479,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-29,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,311,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-09-30,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,58,338,-61,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-01,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,89,404,-128,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-10-02,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,94,415,-329,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-03,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,84,394,-308,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-04,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,59,340,-255,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-05,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,232,710,-625,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-10-06,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,105,438,-353,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
