date,name,type,moving_time_s,elapsed_time_s,distance_m,elevation_m,calories,training_load,intensity,avg_hr,max_hr,avg_power_w,np_w
2017-12-03,Run to Zernike,Run,1753,1756,5913.232,50.0,,,,,,,
2018-02-17,Morning Ride,Ride,7495,7850,58839.9,39.0,1705,,,,,,
2018-02-18,Afternoon Ride,Ride,7150,7851,55162.26,87.0,1738,,,,,,
2018-02-25,Morning Ride,Ride,7015,7258,50812.64,145.0,1451,,,,,,
2018-03-04,Lunch Ride,Ride,9057,10132,69234.74,211.0,2115,,,,,,
2018-03-06,Afternoon Ride,Ride,5279,5384,43079.23,28.0,1262,,,,,,
2018-03-10,Morning Ride,Ride,7227,7402,56291.24,116.0,1608,,,,,,
2018-03-17,"Fuc*ing Wind 2 (45km/h at least, Strava went mad)",Ride,4622,4654,31019.002,55.5,,,,,,,
2018-03-20,Out with sun >> spinning,Ride,5698,5737,43586.61,82.1,,,,,,,
2018-03-22,"No motivation, then it started to rain.",Ride,4034,4349,27601.035,59.4,,,,,,,
2018-03-27,Another windy day,Ride,5920,6099,46008.027,95.4,,,,,,,
2018-03-29,Sotto la grandine,Ride,5412,5524,44252.31,79.4,,,,,,,
2018-03-31,Morning Ride,Ride,15714,16404,124759.46,88.0,3655,,,,,,
2018-04-02,As usual Strava left me,Ride,6284,6439,52017.586,136.1,,,,,,,
2018-04-05,Tired of this (Windy again),Ride,4542,4653,31570.564,56.9,,,,,,,
2018-04-07,Morning Ride,Ride,17291,18000,136356.22,191.0,4048,,,,,,
2018-04-09,As usual...,Ride,1086,1090,7628.6606,15.2,,,,,,,
2018-04-12,Almost there!,Ride,5690,5819,45988.56,82.6,,,,,,,
2018-04-14,Morning Ride,Ride,20972,22155,171506.73,191.0,5272,,,,,,
2018-04-16,2K!,Ride,6891,6932,54450.785,53.4,,,,,,,
2018-04-18,Laaste Nederlanse Rondje (chillin'),Ride,4133,4222,33660.47,62.9,,,,,,,
2018-04-21,Morning Ride,Ride,28592,31707,204234.31,3346.0,7795,,,,,,
2018-04-26,Morning Ride,Ride,5166,5553,26959.33,818.0,1263,,,,,,
2018-05-22,Back to do something (Running is not bad),Run,911,1064,4463.1943,38.0,,,,,,,
2018-06-08,After thesis easy,Run,1354,1898,4994.8086,40.0,,,,,,,
2018-06-14,Is the GPS right?,Run,1491,1713,6309.7676,44.0,,,,,,,
2018-06-20,Some more easy running,Run,1093,1424,4054.4744,26.0,,,,,,,
2018-07-01,Corsa mattutina,Run,4,5,26.04693,0.0,,,,,,,
2018-07-01,Verso il lungo: Corvara - Colle Santa Lucia,Ride,4594,5357,28197.246,725.69995,,,,,,,
2018-07-03,Selvino con Liuk,Ride,5591,6436,34049.1,1155.9,,,,,,,
2018-07-09,Morning Run,Run,16881,17022,90409.89,3374.0,,,,,,,
2018-07-13,Suchello hard,Run,16922,23256,22398.242,1620.0,,,,,,,
2018-07-13,Biathlon (alla ricerca di Coppi),Ride,6509,9461,40386.4,887.5001,,,,,,,
2018-07-17,Presolana Tour (with Ali and Kerri),Run,15018,25669,17467.84,1548.0,,,,,,,
2018-07-19,Alben is always nice,Run,9949,16244,9285.231,1070.0,,,,,,,
2018-07-29,Malga lunga con scatto finale,Run,8148,12163,11748.251,714.0,,,,,,,
2018-08-19,Corsa mattutina,Run,4212,4464,3716.502,691.0,,,,,,,
2018-09-18,Coppi's Karma,Ride,6942,7104,31550.0,1223.0,,,,,,,
